FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",,,
1081,AL,Lee County,3,2,3,2,13597.00,5933.00,2498.00,4386.00,51.50,22.50,9.50,16.60,13621.00,9860.00,4712.00,7777.00,37.90,27.40,13.10,21.60,12179.00,11714.00,10091.00,11500.00,26.80,25.80,22.20,25.30,11557.00,16576.00,16686.00,17351.00,18.60,26.70,26.80,27.90,9049.00,22855.00,30707.00,32377.00,9.50,24.10,32.30,34.10,,,
1083,AL,Limestone County,2,2,2,2,13226.00,5239.00,1411.00,1309.00,62.40,24.70,6.70,6.20,12837.00,8272.00,2648.00,2277.00,49.30,31.80,10.20,8.70,12856.00,10620.00,6585.00,4811.00,36.90,30.50,18.90,13.80,11081.00,14102.00,10924.00,7349.00,25.50,32.50,25.10,16.90,10123.00,19463.00,18341.00,16367.00,15.70,30.30,28.50,25.50,,,
1085,AL,Lowndes County,2,2,2,2,4077.00,919.00,272.00,275.00,73.60,16.60,4.90,5.00,3629.00,1722.00,531.00,430.00,57.50,27.30,8.40,6.80,3007.00,2199.00,1170.00,566.00,43.30,31.70,16.90,8.20,2925.00,2731.00,1626.00,901.00,35.70,33.40,19.90,11.00,1588.00,2722.00,1750.00,996.00,22.50,38.60,24.80,14.10,,,
1087,AL,Macon County,6,5,6,6,7510.00,1937.00,1045.00,1810.00,61.00,15.70,8.50,14.70,6380.00,3172.00,1871.00,2526.00,45.70,22.70,13.40,18.10,5236.00,3195.00,2852.00,2476.00,38.10,23.20,20.70,18.00,4188.00,3486.00,3664.00,2617.00,30.00,25.00,26.30,18.80,2215.00,3658.00,3752.00,2510.00,18.30,30.10,30.90,20.70,,,
1089,AL,Madison County,2,2,2,2,34090.00,28255.00,12537.00,17289.00,37.00,30.70,13.60,18.80,32899.00,34718.00,18930.00,23506.00,29.90,31.50,17.20,21.40,30211.00,35243.00,41361.00,46049.00,19.80,23.10,27.10,30.10,26308.00,39591.00,52676.00,61814.00,14.60,21.90,29.20,34.30,21617.00,50768.00,69750.00,101650.00,8.90,20.80,28.60,41.70,,,
1091,AL,Marengo County,7,11,7,11,7786.00,2557.00,757.00,761.00,65.60,21.60,6.40,6.40,7127.00,4241.00,1181.00,1207.00,51.80,30.80,8.60,8.80,5425.00,4840.00,2173.00,1612.00,38.60,34.40,15.50,11.50,4020.00,5351.00,3223.00,1732.00,28.10,37.40,22.50,12.10,2192.00,5378.00,3869.00,2084.00,16.20,39.80,28.60,15.40,,,
1093,AL,Marion County,8,4,7,11,9771.00,2937.00,448.00,484.00,71.60,21.50,3.30,3.50,10347.00,5194.00,1298.00,1085.00,57.70,29.00,7.20,6.10,9728.00,5584.00,2852.00,1301.00,50.00,28.70,14.70,6.70,7962.00,7107.00,4823.00,1719.00,36.80,32.90,22.30,8.00,4343.00,7435.00,6770.00,2806.00,20.30,34.80,31.70,13.10,,,
1095,AL,Marshall County,4,5,4,5,19838.00,6898.00,1791.00,1573.00,65.90,22.90,6.00,5.20,19513.00,11947.00,4260.00,3377.00,49.90,30.60,10.90,8.60,17985.00,13615.00,9719.00,5359.00,38.50,29.20,20.80,11.50,16845.00,16758.00,13719.00,7639.00,30.60,30.50,25.00,13.90,12151.00,19818.00,19442.00,12233.00,19.10,31.10,30.50,19.20,,,
1097,AL,Mobile County,2,2,2,2,92179.00,43792.00,12675.00,12072.00,57.40,27.20,7.90,7.50,77046.00,69871.00,29075.00,24926.00,38.30,34.80,14.50,12.40,69340.00,75114.00,51722.00,36078.00,29.90,32.30,22.30,15.50,58223.00,79822.00,65452.00,46625.00,23.30,31.90,26.20,18.60,38247.00,92986.00,82763.00,63703.00,13.80,33.50,29.80,22.90,,,
1099,AL,Monroe County,7,11,7,11,7137.00,2314.00,544.00,604.00,67.30,21.80,5.10,5.70,6079.00,4060.00,1107.00,1068.00,49.40,33.00,9.00,8.70,5799.00,4478.00,2413.00,1538.00,40.80,31.50,17.00,10.80,4939.00,5285.00,3341.00,1813.00,32.10,34.40,21.70,11.80,2409.00,6805.00,3464.00,2078.00,16.30,46.10,23.50,14.10,,,
1101,AL,Montgomery County,2,2,2,2,39981.00,26418.00,10034.00,11119.00,45.70,30.20,11.50,12.70,36541.00,34341.00,17210.00,21989.00,33.20,31.20,15.60,20.00,31713.00,32844.00,32733.00,31075.00,24.70,25.60,25.50,24.20,27905.00,34410.00,38733.00,40294.00,19.70,24.30,27.40,28.50,21646.00,38289.00,41976.00,48131.00,14.40,25.50,28.00,32.10,,,
1103,AL,Morgan County,3,2,3,2,22039.00,11946.00,3403.00,3418.00,54.00,29.30,8.30,8.40,20951.00,18311.00,6843.00,6164.00,40.10,35.00,13.10,11.80,19814.00,19282.00,15600.00,10019.00,30.60,29.80,24.10,15.50,17347.00,22252.00,20242.00,13490.00,23.70,30.30,27.60,18.40,13706.00,24350.00,26356.00,17849.00,16.70,29.60,32.00,21.70,,,
1105,AL,Perry County,8,6,8,4,5338.00,1263.00,364.00,531.00,71.20,16.80,4.90,7.10,4468.00,2016.00,612.00,762.00,56.90,25.70,7.80,9.70,3507.00,1936.00,885.00,825.00,49.00,27.10,12.40,11.50,2625.00,2119.00,1533.00,701.00,37.60,30.40,22.00,10.00,1275.00,2293.00,1334.00,913.00,21.90,39.40,22.90,15.70,,,
1107,AL,Pickens County,8,6,3,2,7409.00,2406.00,517.00,496.00,68.40,22.20,4.80,4.60,6800.00,3616.00,850.00,844.00,56.20,29.90,7.00,7.00,5682.00,4465.00,1957.00,859.00,43.80,34.40,15.10,6.60,4108.00,5110.00,2995.00,1323.00,30.30,37.80,22.10,9.80,2829.00,5352.00,4425.00,1959.00,19.40,36.70,30.40,13.50,,,
1109,AL,Pike County,6,5,6,5,7862.00,2906.00,906.00,886.00,62.60,23.10,7.20,7.10,7852.00,3979.00,1412.00,1690.00,52.60,26.60,9.50,11.30,6451.00,4406.00,2618.00,2242.00,41.00,28.00,16.70,14.30,5472.00,5312.00,3655.00,3264.00,30.90,30.00,20.60,18.40,3660.00,6405.00,4657.00,4536.00,19.00,33.30,24.20,23.60,,,
1111,AL,Randolph County,6,4,6,4,7664.00,2268.00,355.00,399.00,71.70,21.20,3.30,3.70,6965.00,3192.00,832.00,858.00,58.80,26.90,7.00,7.20,6363.00,3678.00,1776.00,992.00,49.70,28.70,13.90,7.70,5618.00,4723.00,2942.00,1479.00,38.10,32.00,19.90,10.00,3340.00,5719.00,4329.00,2350.00,21.20,36.30,27.50,14.90,,,
1113,AL,Russell County,2,2,2,2,16516.00,4669.00,801.00,682.00,72.90,20.60,3.50,3.00,15314.00,7656.00,2284.00,1536.00,57.20,28.60,8.50,5.70,12750.00,9153.00,5332.00,2437.00,43.00,30.80,18.00,8.20,10749.00,10594.00,7654.00,3110.00,33.50,33.00,23.80,9.70,6495.00,12583.00,13434.00,6438.00,16.70,32.30,34.50,16.50,,,
1115,AL,St. Clair County,1,1,1,1,10304.00,3540.00,666.00,471.00,68.80,23.60,4.40,3.10,11841.00,7947.00,2335.00,1519.00,50.10,33.60,9.90,6.40,12450.00,10492.00,6271.00,2708.00,39.00,32.90,19.60,8.50,12353.00,14921.00,11036.00,4791.00,28.70,34.60,25.60,11.10,9255.00,21865.00,19587.00,9991.00,15.20,36.00,32.30,16.50,,,
1117,AL,Shelby County,1,1,1,1,12329.00,4731.00,1110.00,1123.00,63.90,24.50,5.80,5.80,13473.00,11735.00,5204.00,6564.00,36.40,31.70,14.10,17.80,13507.00,15884.00,14569.00,17978.00,21.80,25.60,23.50,29.00,12386.00,21671.00,25479.00,34649.00,13.20,23.00,27.10,36.80,11258.00,29106.00,42634.00,60424.00,7.80,20.30,29.70,42.10,,,
1119,AL,Sumter County,8,6,8,6,5393.00,1391.00,608.00,592.00,67.50,17.40,7.60,7.40,4575.00,2314.00,814.00,843.00,53.50,27.10,9.50,9.90,4259.00,2343.00,1356.00,996.00,47.60,26.20,15.10,11.10,3077.00,2719.00,1849.00,1086.00,35.20,31.10,21.20,12.40,1238.00,2969.00,1936.00,1715.00,15.80,37.80,24.60,21.80,,,
